Job Titles,Department,Annual Salary
POLICE OFFICER,DEPARTMENT OF POLICE,104934
ASST CORPORATION COUNSEL II,DEPARTMENT OF LAW,92832
COMMUNICATIONS OPERATOR I - 311,OFFICE OF EMERGENCY MANAGEMENT,47532
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,106170
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,113568
POLICE OFFICER,DEPARTMENT OF POLICE,56040
POLICE OFFICER,DEPARTMENT OF POLICE,88896
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER,DEPARTMENT OF POLICE,104934
ASST CORPORATION COUNSEL SUPVSR,DEPARTMENT OF LAW,154680
POLICE OFFICER,DEPARTMENT OF POLICE,101412
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,56040
POLICE OFFICER (ASSIGNED AS SECURITY SPECIALIST),DEPARTMENT OF POLICE,121806
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,111966
POLICE OFFICER / FLD TRNG OFFICER,DEPARTMENT OF POLICE,102906
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,117690
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,121140
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER,DEPARTMENT OF POLICE,101412
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER,DEPARTMENT OF POLICE,88896
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER,DEPARTMENT OF POLICE,93264
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER,DEPARTMENT OF POLICE,101412
POLICE OFFICER,DEPARTMENT OF POLICE,97974
ASST CORPORATION COUNSEL I,DEPARTMENT OF LAW,80784
POLICE OFFICER,DEPARTMENT OF POLICE,56040
ASST CORPORATION COUNSEL III,DEPARTMENT OF LAW,117084
POLICE OFFICER,DEPARTMENT OF POLICE,111966
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,111966
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER,DEPARTMENT OF POLICE,84522
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,97974
ATTORNEY - EXCLUDED,DEPARTMENT OF PROCUREMENT SERV,112128
POLICE OFFICER,DEPARTMENT OF POLICE,97974
ASST TO THE ALDERMAN,CITY COUNCIL,85008
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,117690
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,97974
ASST CORPORATION COUNSEL II,DEPARTMENT OF LAW,106704
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,121140
ASST CORPORATION COUNSEL II,DEPARTMENT OF LAW,101880
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER (ASSIGNED AS EVIDENCE TECHNICIAN),DEPARTMENT OF POLICE,114282
POLICE OFFICER,DEPARTMENT OF POLICE,56040
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,113568
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,111966
POLICE OFFICER,DEPARTMENT OF POLICE,108822
PAYMENT SERVICES REPRESENTATIVE,DEPARTMENT OF FINANCE,47532
POLICE OFFICER,DEPARTMENT OF POLICE,101412
POLICE OFFICER,DEPARTMENT OF POLICE,56040
POLICE OFFICER,DEPARTMENT OF POLICE,101412
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER,DEPARTMENT OF POLICE,93264
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,109704
POLICE OFFICER,DEPARTMENT OF POLICE,111966
POLICE OFFICER,DEPARTMENT OF POLICE,101412
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER,DEPARTMENT OF POLICE,111966
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,109704
POLICE OFFICER,DEPARTMENT OF POLICE,97974
AVIATION COMMUNICATIONS OPERATOR,DEPARTMENT OF AVIATION,58560
POLICE OFFICER (ASSIGNED AS TRAFFIC SPECIALIST),DEPARTMENT OF POLICE,106464
ASST CORPORATION COUNSEL III,DEPARTMENT OF LAW,101880
POLICE OFFICER,DEPARTMENT OF POLICE,111966
POLICE OFFICER,DEPARTMENT OF POLICE,84522
POLICE OFFICER,DEPARTMENT OF POLICE,56040
POLICE OFFICER,DEPARTMENT OF POLICE,88896
POLICE OFFICER,DEPARTMENT OF POLICE,111966
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,117690
STAFF ASST TO THE ALDERMAN,CITY COUNCIL,51024
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,113568
POLICE OFFICER,DEPARTMENT OF POLICE,97974
ASST CORPORATION COUNSEL III,DEPARTMENT OF LAW,101880
LEGISLATIVE AIDE,CITY COUNCIL,55992
POLICE OFFICER,DEPARTMENT OF POLICE,111966
ASST CORPORATION COUNSEL II,DEPARTMENT OF LAW,106704
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,113568
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER,DEPARTMENT OF POLICE,88896
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,121140
POLICE OFFICER,DEPARTMENT OF POLICE,111966
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,117690
POLICE OFFICER,DEPARTMENT OF POLICE,56040
POLICE OFFICER,DEPARTMENT OF POLICE,108822
AVIATION SECURITY SERGEANT,DEPARTMENT OF AVIATION,83892
POLICE OFFICER (ASSIGNED AS TRAFFIC SPECIALIST),DEPARTMENT OF POLICE,102906
POLICE OFFICER / FLD TRNG OFFICER,DEPARTMENT OF POLICE,110178
POLICE OFFICER,DEPARTMENT OF POLICE,97974
SERGEANT,DEPARTMENT OF POLICE,125634
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,97974
ASST TO THE ALDERMAN,CITY COUNCIL,72768
POLICE OFFICER,DEPARTMENT OF POLICE,111966
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,111966
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER,DEPARTMENT OF POLICE,104934
AVIATION SECURITY SERGEANT,DEPARTMENT OF AVIATION,105840
POLICE OFFICER,DEPARTMENT OF POLICE,111966
POLICE OFFICER,DEPARTMENT OF POLICE,84522
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,88896
ASST CORPORATION COUNSEL SENIOR,DEPARTMENT OF LAW,106704
POLICE OFFICER,DEPARTMENT OF POLICE,101412
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER,DEPARTMENT OF POLICE,56040
POLICE OFFICER,DEPARTMENT OF POLICE,88896
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,101412
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER,DEPARTMENT OF POLICE,88896
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER,DEPARTMENT OF POLICE,108822
ASST CORPORATION COUNSEL SUPVSR,DEPARTMENT OF LAW,154680
POLICE OFFICER,DEPARTMENT OF POLICE,93264
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,111966
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER,DEPARTMENT OF POLICE,56040
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,121140
POLICE OFFICER (ASSIGNED AS EVIDENCE TECHNICIAN),DEPARTMENT OF POLICE,114282
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,113568
POLICE OFFICER,DEPARTMENT OF POLICE,111966
POLICE OFFICER,DEPARTMENT OF POLICE,111966
POLICE OFFICER,DEPARTMENT OF POLICE,56040
FIELD SANITATION INVESTIGATOR,DEPT STREETS AND SANITATION,85308
POLICE OFFICER,DEPARTMENT OF POLICE,111966
POLICE OFFICER,DEPARTMENT OF POLICE,111966
POLICE OFFICER,DEPARTMENT OF POLICE,56040
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,109704
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER / FLD TRNG OFFICER,DEPARTMENT OF POLICE,102906
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,117690
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,93264
POLICE OFFICER,DEPARTMENT OF POLICE,111966
POLICE OFFICER,DEPARTMENT OF POLICE,101412
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER,DEPARTMENT OF POLICE,111966
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER,DEPARTMENT OF POLICE,108822
PROJECTS ADMINISTRATOR,DEPARTMENT OF PUBLIC HEALTH,97548
POLICE OFFICER / FLD TRNG OFFICER,DEPARTMENT OF POLICE,102906
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,117690
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,117690
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER,DEPARTMENT OF POLICE,108822
STAFF ASST,DAIS,49176
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER,DEPARTMENT OF POLICE,101412
POLICE OFFICER/EXPLSV DETECT K9 HNDLR,DEPARTMENT OF POLICE,117690
ASST CORPORATION COUNSEL I,DEPARTMENT OF LAW,80784
POLICE OFFICER,DEPARTMENT OF POLICE,56040
PROJECT MANAGER,DAIS,108816
POLICE OFFICER,DEPARTMENT OF POLICE,84522
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER,DEPARTMENT OF POLICE,101412
POLICE OFFICER,DEPARTMENT OF POLICE,56040
POLICE OFFICER,DEPARTMENT OF POLICE,56040
POLICE OFFICER,DEPARTMENT OF POLICE,56040
POLICE OFFICER,DEPARTMENT OF POLICE,111966
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,106170
POLICE OFFICER,DEPARTMENT OF POLICE,97974
PARKING ENFORCEMENT AIDE,DEPARTMENT OF FINANCE,40392
AIRPORT FACILITIES MANAGER,DEPARTMENT OF AVIATION,108864
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,117690
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER,DEPARTMENT OF POLICE,111966
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER/EXPLSV DETECT K9 HNDLR,DEPARTMENT OF POLICE,114282
AIRPORT OPERATIONS SUPVSR II,DEPARTMENT OF AVIATION,118068
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER,DEPARTMENT OF POLICE,84522
POLICE OFFICER,DEPARTMENT OF POLICE,88896
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER,DEPARTMENT OF POLICE,111966
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER,DEPARTMENT OF POLICE,56040
POLICE OFFICER,DEPARTMENT OF POLICE,56040
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,117690
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER / FLD TRNG OFFICER,DEPARTMENT OF POLICE,102906
POLICE OFFICER,DEPARTMENT OF POLICE,93264
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,121140
POLICE OFFICER,DEPARTMENT OF POLICE,111966
POLICE OFFICER,DEPARTMENT OF POLICE,108822
STAFF ASST TO THE ALDERMAN,CITY COUNCIL,58008
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER,DEPARTMENT OF POLICE,97974
ASST CORPORATION COUNSEL I,DEPARTMENT OF LAW,80784
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER,DEPARTMENT OF POLICE,101412
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,101412
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER,DEPARTMENT OF POLICE,104934
ATTORNEY - EXCLUDED,DEPARTMENT OF PROCUREMENT SERV,112128
POLICE OFFICER,DEPARTMENT OF POLICE,97974
MANAGER - AVIATION ID BADGING OPERATIONS,DEPARTMENT OF AVIATION,75996
POLICE OFFICER,DEPARTMENT OF POLICE,84522
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,121140
EXPLOSIVES TECHNICIAN I,DEPARTMENT OF POLICE,129666
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER,DEPARTMENT OF POLICE,101412
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER,DEPARTMENT OF POLICE,56040
POLICE OFFICER,DEPARTMENT OF POLICE,56040
POLICE OFFICER,DEPARTMENT OF POLICE,101412
POLICE OFFICER,DEPARTMENT OF POLICE,93264
POLICE OFFICER (ASSIGNED AS EVIDENCE TECHNICIAN),DEPARTMENT OF POLICE,110178
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER,DEPARTMENT OF POLICE,101412
POLICE OFFICER (ASSIGNED AS EVIDENCE TECHNICIAN),DEPARTMENT OF POLICE,117690
POLICE OFFICER,DEPARTMENT OF POLICE,101412
POLICE OFFICER,DEPARTMENT OF POLICE,111966
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,111966
POLICE OFFICER,DEPARTMENT OF POLICE,111966
POLICE OFFICER,DEPARTMENT OF POLICE,111966
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER,DEPARTMENT OF POLICE,56040
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER,DEPARTMENT OF POLICE,56040
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,56040
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,113568
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER,DEPARTMENT OF POLICE,111966
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,93264
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,113568
AIRPORT OPERATIONS SUPVSR I,DEPARTMENT OF AVIATION,107604
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,113568
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,117690
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,121140
POLICE OFFICER,DEPARTMENT OF POLICE,101412
POLICE OFFICER,DEPARTMENT OF POLICE,111966
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER / FLD TRNG OFFICER,DEPARTMENT OF POLICE,102906
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,56040
POLICE OFFICER,DEPARTMENT OF POLICE,101412
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,109704
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,117690
POLICE OFFICER / FLD TRNG OFFICER,DEPARTMENT OF POLICE,106464
POLICE OFFICER,DEPARTMENT OF POLICE,56040
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER / FLD TRNG OFFICER,DEPARTMENT OF POLICE,106464
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,113568
POLICE OFFICER,DEPARTMENT OF POLICE,93264
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,113568
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,113568
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,104934
AVIATION SECURITY SERGEANT,DEPARTMENT OF AVIATION,75708
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER,DEPARTMENT OF POLICE,84522
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,113568
AVIATION SECURITY OFFICER,DEPARTMENT OF AVIATION,71448
ACCOUNTING TECHNICIAN,DAIS,52176
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,117690
AVIATION SECURITY OFFICER,DEPARTMENT OF AVIATION,94368
POLICE OFFICER / FLD TRNG OFFICER,DEPARTMENT OF POLICE,106464
POLICE OFFICER,DEPARTMENT OF POLICE,93264
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,97974
LIBRARIAN IV,CHICAGO PUBLIC LIBRARY,118632
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,109704
POLICE OFFICER,DEPARTMENT OF POLICE,56040
POLICE OFFICER,DEPARTMENT OF POLICE,93264
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,121140
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER,DEPARTMENT OF POLICE,97974
ASST CORPORATION COUNSEL III,DEPARTMENT OF LAW,106704
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,111966
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER (ASSIGNED AS CANINE HANDLER),DEPARTMENT OF POLICE,117690
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,93264
POLICE OFFICER,DEPARTMENT OF POLICE,101412
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,111966
EXECUTIVE DIR,DAIS,160428
POLICE OFFICER,DEPARTMENT OF POLICE,111966
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,56040
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER,DEPARTMENT OF POLICE,56040
POLICE OFFICER,DEPARTMENT OF POLICE,101412
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER/EXPLSV DETECT K9 HNDLR,DEPARTMENT OF POLICE,114282
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER / FLD TRNG OFFICER,DEPARTMENT OF POLICE,102906
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,109704
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER,DEPARTMENT OF POLICE,111966
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,97974
LEGISLATIVE AIDE,CITY COUNCIL,64992
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER,DEPARTMENT OF POLICE,101412
POLICE OFFICER,DEPARTMENT OF POLICE,108822
PROJECT MANAGER,DEPARTMENT OF AVIATION,106668
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,56040
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER / FLD TRNG OFFICER,DEPARTMENT OF POLICE,106464
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER,DEPARTMENT OF POLICE,56040
POLICE OFFICER,DEPARTMENT OF POLICE,56040
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,93264
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,121140
POLICE OFFICER,DEPARTMENT OF POLICE,56040
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER,DEPARTMENT OF POLICE,101412
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,121140
POLICE OFFICER,DEPARTMENT OF POLICE,56040
POLICE OFFICER,DEPARTMENT OF POLICE,84522
PROJECTS ADMINISTRATOR,BUS AFFAIRS AND CONSUMER PROT,86580
POLICE OFFICER,DEPARTMENT OF POLICE,101412
POLICE OFFICER,DEPARTMENT OF POLICE,101412
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,111966
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,111966
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,121140
POLICE OFFICER,DEPARTMENT OF POLICE,56040
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,97974
